Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
101, Advertising Agency,   Category A (eg. Afromedia)    ,70,year,,,,,,-99
102, Advertising Agency,   Category B,40,year,,,,,,-99
103, Advertising Agency,   Category C                     ,20,year,,,,,,-99
201,Art Studios/Signwriters,   Category A,20,year,,,,,,-99
202,Art Studios/Signwriters,   Category  B ,14,year,,,,,,-99
301,Artisans,   Category A (eg. Afromedia)    ,60,year,,,,,,-99
302,Artisans,   Category B,10,year,,,,,,-99
303,Artisans,   Category C                        ,7,year,,,,,,-99
401, Block making Factories,   Category A (machines)      ,200,year,,,,,,-99
402, Block making Factories,   Category B(manual)  ,50,year,,,,,,-99
501, Bill-Boards (Adverts),    Prismatic,300,year,,,,,,-99
502, Bill-Boards (Adverts),    Bulletin,150,year,,,,,,-99
503, Bill-Boards (Adverts),Flexi (Extra large),100,year,,,,,,-99
504, Bill-Boards (Adverts),Large (96 sheets),50,year,,,,,,-99
505, Bill-Boards (Adverts),Medium (16-48 sheets),30,year,,,,,,-99
506, Bill-Boards (Adverts),Signboard Small,10,year,,,,,,-99
507, Bill-Boards (Adverts),Banners,5,year,,,,,,-99
601,  Boutiques,   Category A                        ,60,year,,,,,,-99
602,  Boutiques,   Category B  ,40,year,,,,,,-99
603,  Boutiques,   Category C,30,year,,,,,,-99
701, Bookshops/Stationery Shops     ,   Category A     (large) ,40,year,,,,,,-99
702, Bookshops/Stationery Shops     ,   Category B    ( meduim)        ,30,year,,,,,,-99
703, Bookshops/Stationery Shops     ,   Category C      (small and rural),20,year,,,,,,-99
801,  Bakeries,    Pastries          ,50,year,,,,,,-99
802,  Bakeries,    Flour Kneading (per machine)       ,30,year,,,,,,-99
901, Building Materials/Hardware shops,    Category A (eg.  Peacestone)    ,200,year,,,,,,-99
902, Building Materials/Hardware shops,    Category B (eg. Urban areas : General )   ,70,year,,,,,,-99
903, Building Materials/Hardware shops,    Category C (eg. Urban areas: Cement Only)  ,50,year,,,,,,-99
904, Building Materials/Hardware shops,    Category D (eg. Rural areas: General) ,40,year,,,,,,-99
905, Building Materials/Hardware shops,    Category E (eg. Rural areas: Cement Only),30,year,,,,,,-99
906,Blacksmiths,,20,year,,,,,,-99
1101, Car Washing Bay,     Category A (Pressure machine) ,100,year,,,,,,-99
1102, Car Washing Bay,     Category B (Manual)  ,25,year,,,,,,-99
1200,Chain-saw/Water pump/Generator    ,,100,year,,,,,,-99
1401,Chemical/Pharmacy/Agro-Chemical,     Category A ( Pharmacy),60,year,,,,,,-99
1402,Chemical/Pharmacy/Agro-Chemical,     Category B (Urban:Chemical Stores/Agro Chemicals),40,year,,,,,,-99
1403,Chemical/Pharmacy/Agro-Chemical,     Category C (Large: Rural),30,year,,,,,,-99
1404,Chemical/Pharmacy/Agro-Chemical,     Category D ( Small:Rural),20,year,,,,,,-99
1501,Commercial House/Dept. Stores,Category A Large eg. Melcom/To God be the Glory,250,year,,,,,,-99
1502,Commercial House/Dept. Stores,Category B Medium eg. Peace and Humble,150,year,,,,,,-99
1503,Commercial House/Dept. Stores,Category C Small ,100,year,,,,,,-99
1504,Commercial House/Dept. Stores,Category D ,50,year,,,,,,-99
1505,Commercial House/Dept. Stores,Category E  Table Top,20,year,,,,,,-99
1600,Cigaratte Wholesale Outlets/supplier ,,100,year,,,,,,-99
1701,Car Dealers,Category A(Sellers-Major),500,year,,,,,,-99
1703,Car Dealers,Category B(Sellers-Minor),300,year,,,,,,-99
1704,Car Dealers,Category C(Rental: Equipment Hiring),1500,year,,,,,,-99
1705,Car Dealers,Category D (Rentals-saloon cars),60,year,,,,,,-99
1800,Computer School,,30,year,,,,,,-99
1900,Commissioner of Oaths,,50,year,,,,,,-99
2001,Cold Store,Category A (Cheaper line),200,year,,,,,,-99
2002,Cold Store,Category B ( Anti Kaya),100,year,,,,,,-99
2003,Cold Store,Category C ,50,year,,,,,,-99
2004,Cold Store,Category D ,20,year,,,,,,-99
2101,Cocoa Buying Companies,Category A ( Agencies),700,year,,,,,,-99
2102,Cocoa Buying Companies,Category B (Sub agents),200,year,,,,,,-99
2103,Cocoa Buying Companies,Category C (Per PC),100,year,,,,,,-99
2200,Courier Services (e.g. DHL, EMS, FEDEX),,60,year,,,,,,-99
2301, Distribution of Drinks/Wholesale,Category A (Coca Cola),300,year,,,,,,-99
2302, Distribution of Drinks/Wholesale,Category B (By His Grace. Big Apple) ,200,year,,,,,,-99
2303, Distribution of Drinks/Wholesale,Category C,120,year,,,,,,-99
2304, Distribution of Drinks/Wholesale,Category D,100,year,,,,,,-99
2305, Distribution of Drinks/Wholesale,Category E,60,year,,,,,,-99
2306, Distribution of Drinks/Wholesale,Category F (Akpeteshie and others),30,year,,,,,,-99
2401,Drinking Bars ,Category A(General),50,year,,,,,,-99
2402,Drinking Bars ,Category B(Akpeteshie only),20,year,,,,,,-99
2502,Distillers/Breweries,Category A (Pito/Palm-wine,30,year,,,,,,-99
2503,Distillers/Breweries,Category A  ( Akpeteshie Exportation,1,shell drum,,,,,,-99
2601,Driving School,Category A(license D to F),60,year,,,,,,-99
2602,Driving School,Category B (license A to C),40,year,,,,,,-99
2701,Electricals Shop,Category A ,80,year,,,,,,-99
2702,Electricals Shop,Category B,40,year,,,,,,-99
2703,Electricals Shop,Category C (Rewinding),20,year,,,,,,-99
2801,Electronic Shop,Category A  (eg. Brand new),50,year,,,,,,-99
2802,Electronic Shop,Category B ( Second Hand Shop),35,year,,,,,,-99
2803,Electronic Shop,Category C (Radio/Electonic repairers) ,15,year,,,,,,-99
2900,Florist(Flower shop),,20,year,,,,,,-99
3001,Furniture/Carpentry Shop,Category A (Showroom),60,year,,,,,,-99
3002,Furniture/Carpentry Shop,Category B   Coffin Producers/Sellers,40,year,,,,,,-99
3003,Furniture/Carpentry Shop,Category C (Upholstry),20,year,,,,,,-99
3004,Furniture/Carpentry Shop,Category D,15,year,,,,,,-99
3101,Financial Institutions,Category A (Bogoso/Prestea Branch Office. Commercial Bank),2500,year,,,,,,-99
3102,Financial Institutions,Category B (Rural/Community Banks),1000,year,,,,,,-99
3103,Financial Institutions,Category C (Rural Banks Agency),400,year,,,,,,-99
